"name","allycode","estimatedScore","lastActualScore","diff","diffPercent"
"Rex47","798815731",10978500,11100000,121500,1.1
"Josef29","588644288",10117000,8100000,-2017000,-19.9
"Zak McKracken","583975841",9499000,7410000,-2089000,-22
"BΛ 18th Qu1nO","311184143",7828000,5210000,-2618000,-33.4
"Kxbi39","963545236",7749500,1800000,-5949500,-76.8
"Radhad","726188947",7087500,12000000,4912500,69.3
"Okul Mevisto","375389182",6600000,1200000,-5400000,-81.8
"Nudo der Rächer","553153872",6516000,3872500,-2643500,-40.6
"DD44ddyy","569924112",6192500,5583750,-608750,-9.8
"Tobiwan","215178647",5840000,3255000,-2585000,-44.3
"Poldy","198972786",5532000,4698750,-833250,-15.1
"BΛ 18th Failix93","531337631",5432000,3600000,-1832000,-33.7
"Bad Batch","681176546",4729500,3900000,-829500,-17.5
"BΛ 18th Domme53","293754352",4242500,4500000,257500,6.1
"Sandrelle","225136779",4220000,4170000,-50000,-1.2
"Micha","441471428",4149500,4800000,650500,15.7
"Ethan Calypso","834324965",3298500,2132500,-1166000,-35.3
"Halodri","423968927",3210000,2148750,-1061250,-33.1
"Evilfraggle","527696828",3054000,1200000,-1854000,-60.7
"n0am","736436766",2890500,2740000,-150500,-5.2
"YPSOLON","912458532",2821000,1940000,-881000,-31.2
"Maxima","272612712",2816500,1935000,-881500,-31.3
"Campeón Pesadilla","987453191",2528000,1765000,-763000,-30.2
"Exar Kun","587915188",2366000,2550000,184000,7.8
"Rendo","529589453",2208500,2510000,301500,13.7
"Nikotin2803","225819189",2121000,2520000,399000,18.8
"Cyria","562612771",2105000,1200000,-905000,-43
"Skylar Twink","588326869",1996500,900000,-1096500,-54.9
"Sasa","496742742",1981000,2355000,374000,18.9
"Weltenklang","514375443",1978500,1500000,-478500,-24.2
"Amgcobra","529132897",1939000,1195000,-744000,-38.4
"Wyrdn","928416533",1909500,2250000,340500,17.8
"Bullet","877667496",1848500,822500,-1026000,-55.5
"Korgas","765528436",1847500,2100000,252500,13.7
"Pekaju81","657872812",1682500,685000,-997500,-59.3
"olliw30","785375887",1649000,1350000,-299000,-18.1
"Giga","731918197",1648500,1500000,-148500,-9
"Cyno Lanri","856891947",1589000,600000,-989000,-62.2
"Endie","347132441",1560500,,,
"Ben Eidenswert","122627455",1479500,530000,-949500,-64.2
"Imperatorin Skylar ツ","529359665",1342500,300000,-1042500,-77.7
"Eselinho","673687898",1325000,1050000,-275000,-20.8
"Pelzdavi","412292457",1264000,750000,-514000,-40.7
"Xyvee","666924181",1216500,0,-1216500,-100
"hartholzheftig","829453731",1040500,600000,-440500,-42.3
"Quinnscup","419626422",993500,1350000,356500,35.9
"Battlemurmel","215789357",939500,600000,-339500,-36.1
"FirstOrderCommander","386171956",925500,910000,-15500,-1.7
"BΛ Anexiety","486818281",775000,0,-775000,-100
"Murc de Burgh","779865135",569500,300000,-269500,-47.3